nama,harga,penjual,kota,total_terjual,rating
Paket 7 Pack Seblak Instant CARLA,145000,Seblak carla,Tangerang,30,4.9
KERUPUK PEDAS JABLAY PELANGI 500gr / Seblak Kering Bantat Seblak,32198,AHR Jaya Snack,Jakarta Timur,13,5.0
Kerupuk Seblak Bantet 100 gram-Tantaz Snack,7500,tantaz_Snack,Tangerang Selatan,60,5.0
Kerupuk rambak sapi,15000,Pisang Goreng Madu Bu Nanik,Jakarta Barat,1000,4.9
Kerupuk Keriting Palembang,28000,Pisang Goreng Madu Bu Nanik,Jakarta Barat,1000,4.9
CAMILAN SEBLAK PEDAS 250GR JAJANAN OLEH-OLEH SNACK KILOAN CAMILAN KILO,12500,LARISSA SNACK STORE,Semarang,100,4.8
siomay mini kering 1kg / cuanki / batagor / seblak / bakso aci,29000,fahirastores,Kab. Bandung Barat,100,4.9
seblak jengkol pedas / okesnack,16000,oke snack,Jakarta Selatan,100,4.9
[READY MEDAN] Extra Topping Baso Aci Cuanki Seblak - Tahu Siomay Mini,4000,CemilanPuas,Medan,250,4.4
Cipet somay kering segitiga isi 20 pcs toping seblak baso Aci cuanki,6999,Distributor Cuanki dan Seblak,Kab. Bekasi,100,4.8
Kerupuk Seblak Mentah/ Krupuk Seblak Viral/ Kerupuk Mawar 5kg,119000,Makanan Tradisi Id,Jakarta Pusat,11,5.0
BOCI BASO ACI MACI AYAM MERCON TULANG RANGU XTRA PEDAS | SEBLAK BASO A,8299,snackbox88,Bekasi,50,4.0
Kerupuk Seblak Rempah Cikur,15000,Kerupuk Rempah,Bandung,0,0.0
Krupuk seblak pedass,12000,R~snack,Jakarta Timur,0,0.0
"Paket Happy (Seblak Original, Batagor Kuah, Bacil)",64815,kylafood,Bandung,500,4.9
"Seblak Instan, Praktis, Komplit Khas Sunda by Kang Idin",26000,Kaya Halal Market,Jakarta Selatan,30,4.8
Kerupuk Seblak Mawar Kribo Pedas Daun Jeruk 1.8kg,70000,Cap 2K Snack,Kab. Bandung,25,4.7
KERUPUK PEDAS SEBLAK 250 GR,17000,TOKO KUE MEISYA 2,Jakarta Pusat,40,4.9
kerupuk seblak cocol mentah viral mawar 100gram,5000,cemilanceuromlah,Bandung,250,5.0
Seblak Bandung Jawara Pedas,28000,AkagamiShanks40,Jakarta Pusat,6,5.0
